date,home_team,away_team,home_win_rate,away_win_rate,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,home_win_rate_vs_top,away_win_rate_vs_top,h2h_home_wins,matches_played_diff,home_rank,away_rank,rank_diff,label
1994-04-14,Martinique,Guadeloupe,0.4,0.3333333333333333,1.5,3.6666666666666665,1.8,2.0,0.33,0.33,0.0,9,100,100,0,1
1995-03-19,Sint Maarten,Saint Kitts and Nevis,0.375,0.3333333333333333,1.25,2.7777777777777777,1.875,1.8888888888888888,0.33,0.33,0.0,-1,100,100,0,0
1995-03-26,Saint Kitts and Nevis,Sint Maarten,0.4,0.3333333333333333,2.7,1.1111111111111112,1.7,1.8888888888888888,0.33,0.33,0.0,1,100,100,0,0
1995-04-30,Guernsey,Jersey,0.3333333333333333,0.875,4.0,5.375,1.6666666666666667,1.125,0.33,0.33,0.5,-5,100,100,0,0
1995-05-09,French Guiana,Martinique,0.25,0.3,1.0,1.6,1.25,2.5,0.33,0.33,1.0,-10,100,100,0,0
1995-05-13,Guadeloupe,Martinique,0.2857142857142857,0.4,2.571428571428572,1.9,2.0,2.6,0.33,0.33,0.5,-9,100,100,0,1
1995-07-16,Isle of Man,Ynys Môn,0.5,0.25,2.0,1.0,1.75,1.0,0.33,0.33,0.5,0,100,100,0,0
1995-07-16,Jersey,Isle of Wight,0.8888888888888888,0.5,5.0,1.0,1.1111111111111112,0.75,0.33,0.33,0.5,5,100,100,0,1
1995-07-17,Greenland,Ynys Môn,0.6,0.4,2.0,1.2,1.2,0.8,0.33,0.33,0.0,0,100,100,0,0
1995-07-17,Jersey,Guernsey,0.9,0.2,4.7,3.0,1.0,1.8,0.33,0.33,0.3333333333333333,5,100,100,0,1
1995-07-17,Åland Islands,Isle of Wight,0.6,0.4,1.8,0.8,1.2,1.0,0.33,0.33,0.0,0,100,100,0,0
1995-07-18,Greenland,Isle of Man,0.5,0.3333333333333333,1.8333333333333333,1.5,1.3333333333333333,1.8333333333333333,0.33,0.33,0.5,0,100,100,0,1
1995-07-18,Jersey,Åland Islands,0.9,0.5,4.6,1.5,0.9,1.8333333333333333,0.33,0.33,0.5,5,100,100,0,1
1995-07-20,Greenland,Isle of Wight,0.5714285714285714,0.4285714285714285,2.142857142857143,1.4285714285714286,1.1428571428571428,0.8571428571428571,0.33,0.33,0.5,0,100,100,0,0
1995-07-21,French Guiana,Saint Vincent and the Grenadines,0.2857142857142857,0.75,1.5714285714285714,2.0,1.4285714285714286,0.5,0.33,0.33,0.5,3,100,100,0,0
1995-07-21,Guernsey,Ynys Môn,0.1428571428571428,0.4285714285714285,2.2857142857142856,1.1428571428571428,1.5714285714285714,1.0,0.33,0.33,0.5,0,100,100,0,1
1995-07-21,Åland Islands,Isle of Man,0.4285714285714285,0.2857142857142857,1.4285714285714286,1.2857142857142858,2.0,2.142857142857143,0.33,0.33,1.0,0,100,100,0,1
1995-11-23,Saint Lucia,Saint Vincent and the Grenadines,0.2,0.8571428571428571,1.1,2.571428571428572,2.0,0.5714285714285714,0.33,0.33,0.5,7,100,100,0,1
1996-03-16,Alderney,Guernsey,0.0,0.25,0.3333333333333333,2.5,11.666666666666666,1.625,0.33,0.33,0.0,-5,100,100,0,0
1996-03-31,Saint Kitts and Nevis,Sint Maarten,0.3,0.4,2.9,1.3,1.4,1.7,0.33,0.33,0.0,3,100,100,0,1
1996-04-24,Martinique,Saint Lucia,0.4,0.4,2.0,1.3,1.9,1.5,0.33,0.33,1.0,0,100,100,0,1
1996-04-28,Saint Lucia,Martinique,0.3,0.5,0.9,1.9,1.6,1.7,0.33,0.33,1.0,0,100,100,0,0
1996-05-05,Saint Kitts and Nevis,Saint Lucia,0.4,0.3,3.0,0.8,1.2,1.6,0.33,0.33,0.5,-4,100,100,0,1
1996-05-19,Guernsey,Jersey,0.3,0.7,2.2,3.6,1.3,0.6,0.33,0.33,0.4,-5,100,100,0,0
1996-05-19,Saint Lucia,Saint Kitts and Nevis,0.2,0.5,0.7,3.4,2.0,1.2,0.33,0.33,1.0,4,100,100,0,0
1997-03-12,Martinique,Saint Lucia,0.4,0.2,1.2,0.6,1.5,1.9,0.33,0.33,0.6666666666666666,2,100,100,0,1
1997-03-14,Saint Lucia,Saint Vincent and the Grenadines,0.2,0.1,0.6,1.5,1.5,3.4,0.33,0.0,0.6666666666666666,-1,100,100,0,1
1997-03-22,Alderney,Guernsey,0.0,0.2,0.25,1.2,9.25,1.4,0.33,0.33,0.0,-7,100,100,0,0
1997-05-05,Guernsey,Jersey,0.3,0.7,1.7,1.9,1.2,0.6,0.33,0.33,0.3333333333333333,-4,100,100,0,1
1997-06-30,Jersey,Greenland,0.6,0.5,1.4,2.0,0.7,1.25,0.33,0.33,1.0,10,100,100,0,1
1997-07-01,Ynys Môn,Shetland,0.4444444444444444,0.2,2.0,0.6,1.2222222222222223,2.0,0.33,0.33,0.5,4,100,100,0,1
1997-07-02,Jersey,Guernsey,0.6,0.6,1.4,1.9,0.7,0.7,0.33,0.33,0.4285714285714285,3,100,100,0,1
1997-07-03,Frøya,Greenland,0.0,0.3,0.6666666666666666,1.7,3.333333333333333,1.7,0.33,0.33,0.5,-8,100,100,0,1
1997-07-03,Isle of Wight,Guernsey,0.5,0.6,1.6,1.8,0.7,1.0,0.33,0.33,0.0,-6,100,100,0,1
1997-07-03,Shetland,Hitra,0.2857142857142857,0.0,0.7142857142857143,0.3333333333333333,2.142857142857143,5.333333333333333,0.33,0.33,0.5,4,100,100,0,1
1997-07-04,Jersey,Ynys Môn,0.6,0.5,1.8,2.2,0.9,1.0,0.33,0.33,0.0,10,100,100,0,1
1997-07-06,Saint Kitts and Nevis,Martinique,0.4,0.7,2.4,1.7,1.5,0.6,0.33,0.33,0.0,-5,100,100,0,1
1997-11-28,Gambia,Cape Verde,0.375,0.5,1.0,0.75,1.5,0.75,0.33,0.33,0.5,4,100,100,0,1
1998-03-07,Curaçao,French Guiana,0.3,0.1,1.3,1.2,1.6,1.6,0.33,0.33,0.5,-5,100,100,0,1
1998-03-14,Alderney,Jersey,0.0,0.6,0.2,1.7,8.6,0.9,0.33,0.33,0.5,-17,100,100,0,0
1998-03-20,Saint Lucia,Saint Vincent and the Grenadines,0.4,0.0,1.0,1.0,1.4,3.7,0.33,0.0,0.75,0,100,100,0,1
1998-03-22,Saint Lucia,Martinique,0.4,0.6,1.1,1.9,1.5,0.9,0.33,0.33,0.75,-4,100,100,0,0
1998-04-05,Saint Kitts and Nevis,Guadeloupe,0.3,0.4,1.2,2.4,1.5,1.6,0.33,0.33,0.5,19,100,100,0,1
1998-05-04,Jersey,Guernsey,0.7,0.5,1.9,1.5,0.8,1.1,0.33,0.33,0.5,5,100,100,0,1
1999-02-03,Martinique,French Guiana,0.7,0.0,2.5,0.9,1.4,1.8,0.33,0.33,0.5,16,100,100,0,1
1999-03-27,Alderney,Guernsey,0.0,0.4,0.1666666666666666,1.3,7.5,1.3,0.33,0.33,0.0,-13,100,100,0,0
1999-04-17,Saint Lucia,Martinique,0.3,0.7,1.1,2.7,1.7,1.5,0.33,0.33,0.6,-8,100,100,0,1
1999-04-17,Saint Vincent and the Grenadines,Saint Kitts and Nevis,0.0,0.5,1.2,1.5,3.8,1.4,0.0,0.33,0.0,-6,100,100,0,0
1999-04-18,Martinique,Saint Kitts and Nevis,0.6,0.6,2.6,1.9,1.7,1.7,0.33,0.33,0.5,3,100,100,0,1
1999-04-20,Saint Kitts and Nevis,Saint Lucia,0.5,0.4,1.8,1.5,1.9,1.8,0.33,0.33,0.5,5,100,100,0,1
1999-05-03,Guernsey,Jersey,0.5,0.8,1.4,2.1,1.3,0.7,0.33,0.33,0.5555555555555556,-4,100,100,0,1
1999-06-27,Isle of Man,Shetland,0.25,0.375,1.25,0.875,2.375,2.0,0.33,0.33,0.0,0,100,100,0,1
1999-06-27,Isle of Wight,Frøya,0.5,0.4,1.7,1.6,0.6,2.4,0.33,0.33,0.5,8,100,100,0,1
1999-06-27,Jersey,Åland Islands,0.8,0.5,2.1,1.75,0.9,1.875,0.33,0.33,1.0,17,100,100,0,1
1999-06-28,Frøya,Greenland,0.3333333333333333,0.3,1.6666666666666667,1.5,3.0,1.6,0.33,0.33,1.0,-7,100,100,0,0
1999-06-28,Hitra,Isle of Man,0.0,0.3333333333333333,0.6,1.3333333333333333,6.0,2.2222222222222223,0.33,0.33,0.5,-4,100,100,0,0
1999-06-29,Isle of Wight,Greenland,0.7,0.4,2.8,1.7,0.6,1.5,0.33,0.33,0.0,1,100,100,0,1
1999-06-29,Shetland,Hitra,0.3,0.0,0.9,0.5,2.1,7.166666666666667,0.33,0.33,1.0,4,100,100,0,1
1999-07-01,Gotland,Greenland,0.6666666666666666,0.3,6.333333333333333,1.8,2.0,2.2,0.33,0.33,0.5,-12,100,100,0,1
1999-07-01,Gotland,Åland Islands,0.75,0.5,6.5,1.6,2.0,1.7,0.33,0.33,0.5,-6,100,100,0,0
1999-07-01,Guernsey,Frøya,0.4,0.375,0.9,1.875,1.2,2.75,0.33,0.33,0.0,15,100,100,0,1
1999-07-01,Hitra,Saare County,0.0,0.0,0.5714285714285714,1.0,6.714285714285714,4.666666666666667,0.33,0.33,0.5,4,100,100,0,1
1999-07-01,Isle of Man,Jersey,0.4,0.9,2.9,2.5,2.3,0.8,0.33,0.33,1.0,-16,100,100,0,1
1999-07-01,Isle of Wight,Ynys Môn,0.7,0.4,3.0,2.1,0.8,1.1,0.33,0.33,0.0,2,100,100,0,0
1999-07-02,Guernsey,Shetland,0.4,0.5,1.1,1.5,1.3,1.9,0.33,0.33,0.5,12,100,100,0,1
