date,home_team,away_team,home_goals,away_goals,stage,year,winner
2026-06-11,Mexico,South Africa,2,0,GROUP_STAGE,2026,home
2026-06-12,South Korea,Czechia,2,1,GROUP_STAGE,2026,home
2026-06-12,Canada,Bosnia-Herzegovina,1,1,GROUP_STAGE,2026,draw
2026-06-13,United States,Paraguay,4,1,GROUP_STAGE,2026,home
2026-06-13,Qatar,Switzerland,1,1,GROUP_STAGE,2026,draw
2026-06-13,Brazil,Morocco,1,1,GROUP_STAGE,2026,draw
2026-06-14,Haiti,Scotland,0,1,GROUP_STAGE,2026,away
2026-06-14,Australia,Turkey,2,0,GROUP_STAGE,2026,home
2026-06-14,Germany,Curaçao,7,1,GROUP_STAGE,2026,home
2026-06-14,Netherlands,Japan,2,2,GROUP_STAGE,2026,draw
2026-06-14,Ivory Coast,Ecuador,1,0,GROUP_STAGE,2026,home
2026-06-15,Sweden,Tunisia,5,1,GROUP_STAGE,2026,home
2026-06-15,Spain,Cape Verde Islands,0,0,GROUP_STAGE,2026,draw
2026-06-15,Belgium,Egypt,1,1,GROUP_STAGE,2026,draw
2026-06-15,Saudi Arabia,Uruguay,1,1,GROUP_STAGE,2026,draw
2026-06-16,Iran,New Zealand,2,2,GROUP_STAGE,2026,draw
2026-06-16,France,Senegal,3,1,GROUP_STAGE,2026,home
2026-06-16,Iraq,Norway,1,4,GROUP_STAGE,2026,away
2026-06-17,Argentina,Algeria,3,0,GROUP_STAGE,2026,home
2026-06-17,Austria,Jordan,3,1,GROUP_STAGE,2026,home
2026-06-17,Portugal,Congo DR,,,GROUP_STAGE,2026,
2026-06-17,England,Croatia,,,GROUP_STAGE,2026,
2026-06-17,Ghana,Panama,,,GROUP_STAGE,2026,
2026-06-18,Uzbekistan,Colombia,,,GROUP_STAGE,2026,
2026-06-18,Czechia,South Africa,,,GROUP_STAGE,2026,
2026-06-18,Switzerland,Bosnia-Herzegovina,,,GROUP_STAGE,2026,
2026-06-18,Canada,Qatar,,,GROUP_STAGE,2026,
2026-06-19,Mexico,South Korea,,,GROUP_STAGE,2026,
2026-06-19,United States,Australia,,,GROUP_STAGE,2026,
2026-06-19,Scotland,Morocco,,,GROUP_STAGE,2026,
2026-06-20,Brazil,Haiti,,,GROUP_STAGE,2026,
2026-06-20,Turkey,Paraguay,,,GROUP_STAGE,2026,
2026-06-20,Netherlands,Sweden,,,GROUP_STAGE,2026,
2026-06-20,Germany,Ivory Coast,,,GROUP_STAGE,2026,
2026-06-21,Ecuador,Curaçao,,,GROUP_STAGE,2026,
2026-06-21,Tunisia,Japan,,,GROUP_STAGE,2026,
2026-06-21,Spain,Saudi Arabia,,,GROUP_STAGE,2026,
2026-06-21,Belgium,Iran,,,GROUP_STAGE,2026,
2026-06-21,Uruguay,Cape Verde Islands,,,GROUP_STAGE,2026,
2026-06-22,New Zealand,Egypt,,,GROUP_STAGE,2026,
2026-06-22,Argentina,Austria,,,GROUP_STAGE,2026,
2026-06-22,France,Iraq,,,GROUP_STAGE,2026,
2026-06-23,Norway,Senegal,,,GROUP_STAGE,2026,
2026-06-23,Jordan,Algeria,,,GROUP_STAGE,2026,
2026-06-23,Portugal,Uzbekistan,,,GROUP_STAGE,2026,
2026-06-23,England,Ghana,,,GROUP_STAGE,2026,
2026-06-23,Panama,Croatia,,,GROUP_STAGE,2026,
2026-06-24,Colombia,Congo DR,,,GROUP_STAGE,2026,
2026-06-24,Switzerland,Canada,,,GROUP_STAGE,2026,
2026-06-24,Bosnia-Herzegovina,Qatar,,,GROUP_STAGE,2026,
2026-06-24,Morocco,Haiti,,,GROUP_STAGE,2026,
2026-06-24,Scotland,Brazil,,,GROUP_STAGE,2026,
2026-06-25,Czechia,Mexico,,,GROUP_STAGE,2026,
2026-06-25,South Africa,South Korea,,,GROUP_STAGE,2026,
2026-06-25,Ecuador,Germany,,,GROUP_STAGE,2026,
2026-06-25,Curaçao,Ivory Coast,,,GROUP_STAGE,2026,
2026-06-25,Tunisia,Netherlands,,,GROUP_STAGE,2026,
2026-06-25,Japan,Sweden,,,GROUP_STAGE,2026,
2026-06-26,Turkey,United States,,,GROUP_STAGE,2026,
2026-06-26,Paraguay,Australia,,,GROUP_STAGE,2026,
2026-06-26,Norway,France,,,GROUP_STAGE,2026,
2026-06-26,Senegal,Iraq,,,GROUP_STAGE,2026,
2026-06-27,Uruguay,Spain,,,GROUP_STAGE,2026,
2026-06-27,Cape Verde Islands,Saudi Arabia,,,GROUP_STAGE,2026,
2026-06-27,New Zealand,Belgium,,,GROUP_STAGE,2026,
2026-06-27,Egypt,Iran,,,GROUP_STAGE,2026,
2026-06-27,Panama,England,,,GROUP_STAGE,2026,
2026-06-27,Croatia,Ghana,,,GROUP_STAGE,2026,
2026-06-27,Colombia,Portugal,,,GROUP_STAGE,2026,
2026-06-27,Congo DR,Uzbekistan,,,GROUP_STAGE,2026,
